track_id,total_distance_m,avg_speed_kmh,max_speed_kmh,frames_tracked
1,0.43,19.28,19.28,2
4,54.28,14.72,38.0,397
6,0.09,7.77,7.77,2
7,2.88,13.07,17.67,18
8,35.94,16.65,38.0,227
9,7.64,36.03,38.0,49
10,22.56,14.17,38.0,153
11,69.16,16.91,38.0,395
13,45.84,13.21,38.0,362
12,24.01,13.59,38.0,160
14,24.1,11.15,26.01,187
15,15.4,12.57,22.1,85
16,20.16,16.52,38.0,153
17,5.97,17.1,29.95,20
18,11.58,13.17,21.6,72
19,51.61,12.25,26.61,386
20,5.71,13.49,22.22,28
22,51.9,14.39,38.0,371
23,25.25,13.12,37.52,161
24,72.84,19.93,38.0,366
25,14.97,18.7,28.06,55
26,27.56,15.1,31.19,144
27,46.12,13.9,36.13,319
28,36.77,17.39,38.0,197
29,0.17,7.68,9.97,3
30,1.43,9.06,12.61,6
31,4.78,13.47,18.47,24
33,0.84,10.16,15.02,9
32,2.83,12.39,21.54,20
34,3.53,10.99,24.7,31
35,17.05,14.48,29.22,112
36,10.43,18.07,27.88,32
37,5.39,14.95,20.91,26
38,0.24,10.59,12.85,3
39,48.06,18.15,38.0,268
40,3.02,17.6,25.77,16
41,43.06,18.85,38.0,204
42,0.8,34.5,38.0,5
43,8.56,16.75,22.78,40
44,0.7,10.91,19.17,4
45,12.34,23.02,38.0,44
46,31.5,13.79,37.67,226
47,0.94,9.43,11.72,7
48,32.94,15.45,38.0,215
49,10.91,12.58,24.46,72
50,21.18,15.14,38.0,147
51,13.43,16.13,31.52,82
52,0.2,28.13,38.0,3
54,4.44,19.66,38.0,23
55,27.38,17.86,38.0,174
56,5.07,13.83,21.6,36
57,26.67,20.58,38.0,167
58,13.7,15.63,35.07,82
59,6.87,10.65,18.25,56
60,17.08,16.56,30.08,93
62,21.52,19.26,32.33,106
63,0.93,10.66,13.47,6
64,2.29,9.9,14.95,18
65,2.05,28.46,38.0,18
66,2.16,10.75,16.51,11
67,2.63,16.72,23.7,14
68,0.16,14.4,14.4,2
69,12.29,31.35,38.0,53
71,6.71,14.41,28.11,29
72,0.32,14.33,17.92,3
73,9.47,27.71,38.0,55
74,9.85,18.97,30.79,52
75,1.84,10.33,13.36,7
76,3.93,16.8,24.93,18
79,4.0,11.85,19.1,30
80,1.01,22.68,31.87,5
81,3.48,36.93,38.0,21
82,0.81,18.95,34.99,10
83,0.04,3.33,3.33,2
