frame_idx,timestamp_sec,track_id,entity_type,team,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,pitch_x_m,pitch_y_m,speed_kmh
0,0.0,0,ball,Ball,0.7,746.0,572.0,755.0,579.0,42.18,27.32,0.0
1,0.04,0,ball,Ball,0.7,747.0,569.0,756.0,578.0,42.23,27.13,0.0
2,0.08,0,ball,Ball,0.7,749.0,567.0,758.0,578.0,42.33,27.04,0.0
3,0.12,0,ball,Ball,0.7,751.0,568.0,759.0,578.0,42.4,27.08,0.0
4,0.16,0,ball,Ball,0.7,752.0,569.0,761.0,578.0,42.47,27.13,0.0
5,0.2,0,ball,Ball,0.7,374.0,272.0,386.0,280.0,22.61,-2.83,0.0
6,0.24,0,ball,Ball,0.7,55.0,174.0,64.0,181.0,5.37,-13.36,0.0
7,0.28,0,ball,Ball,0.7,1201.0,538.0,1210.0,550.0,64.65,24.28,0.0
8,0.32,0,ball,Ball,0.7,1546.0,624.0,1555.0,630.0,81.36,32.24,0.0
9,0.36,0,ball,Ball,0.7,275.0,236.0,288.0,247.0,17.34,-6.48,0.0
10,0.4,0,ball,Ball,0.7,380.0,268.0,392.0,278.0,22.9,-3.14,0.0
11,0.44,0,ball,Ball,0.7,283.0,237.0,292.0,245.0,17.65,-6.53,0.0
12,0.48,0,ball,Ball,0.7,432.0,224.0,442.0,232.0,25.34,-7.92,0.0
13,0.52,0,ball,Ball,0.7,697.0,221.0,705.0,228.0,39.04,-8.29,0.0
14,0.56,0,ball,Ball,0.7,134.0,264.0,142.0,272.0,10.08,-3.67,0.0
15,0.6,0,ball,Ball,0.7,134.0,264.0,143.0,270.0,10.1,-3.77,0.0
16,0.64,0,ball,Ball,0.7,1195.0,516.0,1203.0,524.0,64.37,21.94,0.0
17,0.68,0,ball,Ball,0.7,1049.0,880.0,1057.0,886.0,56.88,55.61,0.0
18,0.72,0,ball,Ball,0.7,948.0,214.0,955.0,219.0,52.06,-9.15,0.0
19,0.76,0,ball,Ball,0.7,949.0,213.0,956.0,219.0,52.11,-9.21,0.0
20,0.8,0,ball,Ball,0.7,1192.0,522.0,1200.0,531.0,64.21,22.58,0.0
21,0.84,0,ball,Ball,0.7,951.0,213.0,958.0,218.0,52.21,-9.26,0.0
22,0.88,0,ball,Ball,0.7,9.0,327.0,16.0,336.0,4.08,2.97,0.0
23,0.92,0,ball,Ball,0.7,9.0,328.0,17.0,336.0,4.11,3.02,0.0
24,0.96,0,ball,Ball,0.7,10.0,326.0,16.0,335.0,4.1,2.87,0.0
25,1.0,0,ball,Ball,0.7,292.0,224.0,302.0,235.0,18.08,-7.76,0.0
26,1.04,0,ball,Ball,0.7,292.0,224.0,300.0,233.0,18.02,-7.87,0.0
27,1.08,0,ball,Ball,0.7,290.0,223.0,298.0,233.0,17.92,-7.92,0.0
28,1.12,0,ball,Ball,0.7,288.0,222.0,297.0,234.0,17.84,-7.92,0.0
29,1.16,0,ball,Ball,0.7,288.0,220.0,297.0,231.0,17.83,-8.19,0.0
30,1.2,0,ball,Ball,0.7,286.0,218.0,295.0,231.0,17.72,-8.29,0.0
31,1.24,0,ball,Ball,0.7,287.0,218.0,296.0,231.0,17.77,-8.29,0.0
32,1.28,0,ball,Ball,0.7,319.0,269.0,324.0,275.0,19.57,-3.25,0.0
33,1.32,0,ball,Ball,0.7,285.0,216.0,294.0,226.0,17.65,-8.67,0.0
34,1.36,0,ball,Ball,0.7,286.0,214.0,293.0,224.0,17.63,-8.88,0.0
35,1.4,0,ball,Ball,0.7,283.0,214.0,292.0,223.0,17.53,-8.94,0.0
36,1.44,0,ball,Ball,0.7,280.0,213.0,295.0,228.0,17.54,-8.72,0.0
37,1.48,0,ball,Ball,0.7,280.0,211.0,295.0,229.0,17.54,-8.78,0.0
38,1.52,0,ball,Ball,0.7,278.0,211.0,293.0,226.0,17.42,-8.94,0.0
39,1.56,0,ball,Ball,0.7,278.0,209.0,293.0,225.0,17.42,-9.1,0.0
40,1.6,0,ball,Ball,0.7,715.0,198.0,722.0,206.0,39.91,-10.71,0.0
41,1.64,0,ball,Ball,0.7,274.0,208.0,290.0,225.0,17.23,-9.15,0.0
42,1.68,0,ball,Ball,0.7,279.0,182.0,288.0,191.0,17.14,-12.39,0.0
43,1.72,0,ball,Ball,0.7,277.0,180.0,286.0,189.0,17.03,-12.6,0.0
44,1.76,0,ball,Ball,0.7,277.0,180.0,284.0,187.0,16.97,-12.71,0.0
45,1.8,0,ball,Ball,0.7,273.0,178.0,282.0,185.0,16.8,-12.93,0.0
46,1.84,0,ball,Ball,0.7,272.0,178.0,278.0,183.0,16.66,-13.04,0.0
47,1.88,0,ball,Ball,0.7,268.0,175.0,276.0,183.0,16.5,-13.2,0.0
48,1.92,0,ball,Ball,0.7,258.0,199.0,272.0,212.0,16.28,-10.33,0.0
