track_id,total_distance_m,avg_speed_kmh,max_speed_kmh,frames_tracked
1,9.69,21.32,38.0,76
2,16.69,20.11,38.0,110
3,19.62,22.34,38.0,110
4,63.39,22.27,38.0,311
5,19.48,14.92,38.0,156
6,3.99,12.72,19.48,18
7,4.63,13.96,23.29,23
8,0.89,15.62,21.22,8
9,3.7,17.87,38.0,31
10,63.87,12.77,37.63,485
11,0.18,5.44,10.89,4
12,0.28,12.73,23.95,3
13,3.21,12.77,19.55,23
14,0.01,1.05,1.05,2
15,9.59,19.11,38.0,60
16,0.0,0.32,0.32,2
17,8.27,19.03,38.0,47
18,2.42,12.74,19.82,16
19,2.35,14.77,20.98,17
20,5.6,12.69,19.17,39
21,0.81,7.57,9.0,9
22,2.85,14.05,21.86,12
23,0.17,26.64,38.0,3
24,3.71,6.82,10.91,17
25,5.69,14.31,23.52,35
26,1.22,13.27,16.65,8
27,3.9,15.81,29.62,32
28,6.56,10.7,15.62,45
29,0.34,7.45,8.28,4
30,10.65,21.65,38.0,71
32,0.49,14.6,19.72,4
31,0.24,3.85,6.59,5
33,0.15,4.42,8.15,4
34,5.59,23.59,38.0,24
35,17.25,27.47,38.0,84
36,2.55,18.27,23.54,10
37,3.66,11.34,16.58,26
38,23.37,8.62,36.59,192
39,8.87,20.18,33.21,45
40,1.3,12.31,17.75,7
41,0.32,9.57,16.15,4
42,1.64,8.41,10.14,11
43,1.47,14.12,20.37,8
44,7.15,15.83,21.19,38
45,5.07,16.57,27.66,33
48,2.14,21.32,30.42,8
47,0.75,16.91,19.15,5
46,2.48,19.25,32.98,16
49,0.89,7.96,10.31,7
50,4.53,34.33,38.0,13
51,4.66,13.23,17.75,10
52,2.89,23.7,35.29,14
53,0.58,18.41,25.84,8
55,1.66,9.21,14.68,16
56,0.09,22.88,38.0,3
57,0.33,15.07,15.07,2
58,0.18,16.44,16.44,2
59,3.26,10.83,17.97,20
60,5.29,24.75,29.27,18
61,8.09,19.82,30.55,36
62,0.54,13.04,14.91,3
64,10.45,18.44,38.0,61
65,0.08,7.19,7.19,2
66,7.21,29.26,38.0,25
67,13.11,17.86,38.0,88
68,1.33,10.65,14.46,11
69,0.59,13.22,28.59,5
70,4.51,25.1,32.17,14
71,0.69,22.91,28.35,6
73,8.89,23.88,32.49,40
74,11.94,17.37,25.37,49
75,5.65,8.71,17.98,58
76,2.31,9.06,15.69,16
77,3.02,17.09,25.54,15
78,0.12,10.7,10.7,2
80,23.17,11.99,29.72,184
81,1.28,8.11,10.29,10
82,8.18,18.87,31.11,39
83,0.11,10.32,10.32,2
84,6.45,22.56,38.0,18
87,18.73,12.37,24.4,138
86,33.61,10.55,29.54,313
85,0.49,14.8,22.14,4
88,0.71,10.64,12.84,6
89,0.89,7.24,9.1,7
90,44.82,14.5,36.25,307
91,16.29,19.17,38.0,96
92,0.64,4.82,6.83,9
93,0.21,5.18,10.08,4
94,2.71,10.66,17.02,13
95,0.89,6.0,7.89,8
96,8.75,11.87,32.71,89
97,0.18,15.78,15.78,2
98,8.16,17.01,38.0,59
99,0.2,9.06,9.64,3
100,0.17,2.1,2.8,7
101,1.95,6.77,9.64,15
102,0.46,7.95,15.67,12
103,11.99,11.29,20.38,86
104,4.17,11.81,29.47,34
105,1.71,25.27,33.72,10
106,0.15,13.4,13.4,2
107,9.69,15.96,27.28,41
108,13.41,18.98,38.0,70
110,1.23,29.96,38.0,13
111,2.58,9.83,18.41,21
113,0.3,13.52,16.97,3
114,3.1,18.84,26.71,14
115,1.58,12.64,18.08,11
116,2.68,13.29,29.71,24
117,1.54,6.15,11.36,22
118,23.14,14.62,38.0,178
119,14.65,17.64,28.86,72
121,7.0,12.56,26.72,46
120,2.82,14.11,25.19,23
123,16.63,8.0,32.19,163
124,5.27,15.89,29.93,39
125,22.96,16.63,38.0,178
126,0.6,7.2,9.14,6
127,2.31,7.26,13.84,20
129,2.76,24.49,38.0,20
130,0.5,5.87,13.67,5
131,0.63,7.59,10.75,7
132,12.46,12.21,20.13,85
133,1.02,12.29,16.45,11
134,0.16,2.23,2.81,6
135,1.02,7.81,11.15,8
136,0.78,11.59,24.03,5
137,1.39,8.32,12.51,13
138,3.37,13.83,20.37,17
139,14.13,10.82,21.75,118
141,0.23,32.35,38.0,4
142,13.12,11.73,33.7,127
143,15.99,15.0,32.19,121
144,10.54,20.99,38.0,52
145,0.97,17.88,25.48,6
147,3.61,13.51,25.88,27
148,0.13,12.0,12.0,2
149,7.41,24.76,38.0,46
150,0.49,11.12,16.05,5
152,0.28,24.76,24.76,2
153,9.15,13.33,38.0,87
154,2.01,6.76,11.76,25
155,5.94,7.09,12.67,70
156,5.5,13.47,27.54,36
158,0.25,5.64,10.12,5
157,6.54,7.31,17.57,62
159,10.41,11.06,22.03,82
160,3.7,10.47,21.55,27
161,1.58,28.53,38.0,10
162,0.08,2.29,2.29,2
163,3.89,16.56,27.23,17
164,5.89,11.21,18.58,45
165,0.4,11.87,19.52,4
166,1.14,4.54,8.66,22
168,0.13,11.31,11.31,2
169,0.41,12.33,13.02,4
170,0.55,16.53,26.5,4
171,0.13,11.94,11.94,2
172,2.16,12.22,18.68,21
173,0.33,15.06,20.76,3
174,0.98,11.63,19.83,12
175,0.24,10.74,15.59,3
176,2.17,31.87,38.0,25
177,2.23,7.76,15.24,26
178,3.9,12.96,19.43,25
179,2.16,8.02,11.09,16
180,1.76,8.41,15.69,18
181,2.35,18.85,27.05,9
183,1.21,6.99,12.89,15
182,0.22,19.96,19.96,2
185,0.31,9.44,15.47,4
184,1.16,8.42,11.0,12
186,0.07,3.15,3.52,3
187,0.59,6.12,8.33,6
188,0.65,24.22,38.0,5
