frame_idx,timestamp_sec,track_id,entity_type,team,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,pitch_x_m,pitch_y_m,speed_kmh
0,0.0,1,player,Greuther Furth,0.715,801.8,902.9,842.5,1010.6,46.12,66.64,0.0
0,0.0,2,player,Greuther Furth,0.672,1141.9,651.5,1181.1,729.0,62.2,41.76,0.0
0,0.0,3,player,Greuther Furth,0.637,294.5,671.4,328.7,757.3,21.41,44.36,0.0
0,0.0,4,player,Greuther Furth,0.62,395.4,575.5,424.8,651.7,25.72,34.57,0.0
0,0.0,5,player,Greuther Furth,0.607,371.5,853.9,408.1,947.8,25.89,61.27,0.0
0,0.0,6,player,Greuther Furth,0.602,1835.0,885.3,1877.6,983.6,94.12,64.34,0.0
0,0.0,7,player,Greuther Furth,0.594,1084.9,505.6,1108.9,576.4,59.24,27.41,0.0
0,0.0,8,player,Greuther Furth,0.575,552.1,446.0,580.2,549.1,33.03,24.77,0.0
0,0.0,9,player,Greuther Furth,0.527,1295.1,912.9,1344.1,1025.3,69.1,67.88,0.0
0,0.0,10,player,Greuther Furth,0.508,1528.4,519.0,1553.6,590.7,81.05,28.78,0.0
0,0.0,11,player,Greuther Furth,0.451,1227.6,457.9,1255.2,498.3,66.52,19.81,0.0
0,0.0,12,player,Greuther Furth,0.433,1148.3,441.4,1178.9,495.0,62.65,19.49,0.0
0,0.0,13,player,Greuther Furth,0.427,844.6,424.9,873.2,485.4,47.46,18.54,0.0
0,0.0,14,player,VfB Stuttgart,0.417,1350.2,373.5,1377.9,422.6,72.86,12.28,0.0
0,0.0,15,player,Greuther Furth,0.414,1134.3,440.1,1158.5,495.2,61.79,19.5,0.0
0,0.0,16,player,VfB Stuttgart,0.408,1450.1,410.2,1472.4,464.4,77.6,16.46,0.0
0,0.0,17,player,Greuther Furth,0.395,1363.9,457.9,1395.7,514.6,73.36,21.42,0.0
0,0.0,18,player,Greuther Furth,0.384,1479.6,417.7,1506.3,479.5,79.13,17.95,0.0
0,0.0,0,ball,Ball,0.7,467.0,1068.0,479.0,1080.0,30.17,71.97,0.0
1,0.04,1,player,Greuther Furth,0.716,801.8,902.8,842.4,1010.6,46.12,66.64,0.1
1,0.04,2,player,Greuther Furth,0.673,1141.9,651.5,1181.1,729.0,62.2,41.76,0.1
1,0.04,3,player,Greuther Furth,0.642,294.5,671.4,328.9,757.3,21.41,44.36,0.2
1,0.04,4,player,Greuther Furth,0.621,394.8,575.3,425.3,652.4,25.72,34.64,5.6
1,0.04,5,player,Greuther Furth,0.609,371.5,853.9,408.1,947.9,25.89,61.27,0.1
1,0.04,6,player,Greuther Furth,0.601,1835.0,885.8,1877.6,983.5,94.12,64.33,0.3
1,0.04,7,player,Greuther Furth,0.596,1084.9,505.6,1108.9,576.3,59.24,27.4,0.6
1,0.04,8,player,Greuther Furth,0.578,552.0,446.0,580.2,549.1,33.02,24.77,0.3
1,0.04,9,player,Greuther Furth,0.529,1295.1,913.0,1344.0,1025.4,69.1,67.89,1.0
1,0.04,10,player,Greuther Furth,0.505,1528.4,519.1,1553.6,590.7,81.05,28.78,0.2
1,0.04,11,player,Greuther Furth,0.454,1227.5,457.9,1255.2,498.3,66.52,19.81,0.4
1,0.04,12,player,Greuther Furth,0.441,1147.9,441.4,1178.9,495.2,62.64,19.5,1.5
1,0.04,13,player,Greuther Furth,0.429,844.6,424.9,873.2,485.4,47.45,18.54,0.1
1,0.04,15,player,Greuther Furth,0.421,1134.2,440.1,1158.6,495.4,61.79,19.52,1.6
1,0.04,16,player,VfB Stuttgart,0.419,1450.0,409.7,1472.5,464.3,77.6,16.45,0.3
1,0.04,14,player,VfB Stuttgart,0.414,1350.1,373.3,1378.1,422.7,72.86,12.29,1.0
1,0.04,17,player,Greuther Furth,0.398,1363.9,457.9,1395.7,514.7,73.36,21.42,0.2
1,0.04,18,player,Greuther Furth,0.39,1479.6,417.6,1506.3,479.4,79.13,17.95,0.1
1,0.04,0,ball,Ball,0.7,467.0,1068.0,479.0,1080.0,30.17,71.97,0.0
2,0.08,1,player,Greuther Furth,0.687,797.1,901.9,840.1,1014.9,45.96,67.0,35.8
2,0.08,2,player,Greuther Furth,0.675,1141.5,651.1,1179.0,729.7,62.14,41.82,7.9
2,0.08,3,player,Greuther Furth,0.653,289.5,674.6,324.6,759.7,21.2,44.57,27.4
2,0.08,5,player,Greuther Furth,0.619,369.1,854.1,403.9,947.9,25.73,61.27,14.0
2,0.08,7,player,Greuther Furth,0.6,1080.3,505.5,1105.3,578.8,59.04,27.64,28.2
2,0.08,4,player,Greuther Furth,0.553,393.9,577.1,421.1,654.1,25.6,34.8,17.8
2,0.08,8,player,Greuther Furth,0.534,548.3,447.7,577.8,548.1,32.87,24.68,16.1
2,0.08,13,player,Greuther Furth,0.532,840.4,422.1,871.6,487.4,47.31,18.74,21.8
2,0.08,6,player,Greuther Furth,0.488,1827.8,884.3,1872.3,983.3,93.83,64.31,26.2
2,0.08,11,player,Greuther Furth,0.468,1226.4,458.0,1254.6,498.7,66.47,19.85,5.0
2,0.08,15,player,Greuther Furth,0.468,1130.6,440.8,1157.3,498.0,61.67,19.78,26.0
2,0.08,12,player,Greuther Furth,0.464,1146.4,443.3,1176.5,497.7,62.54,19.75,24.0
2,0.08,17,player,Greuther Furth,0.453,1360.5,457.3,1393.9,512.8,73.24,21.24,19.5
2,0.08,10,player,Greuther Furth,0.44,1525.6,517.9,1552.7,590.7,80.96,28.78,8.3
2,0.08,9,player,Greuther Furth,0.411,1293.3,914.2,1339.1,1024.0,68.95,67.78,17.1
2,0.08,18,player,Greuther Furth,0.347,1475.9,416.1,1502.7,480.8,78.94,18.08,20.8
2,0.08,0,ball,Ball,0.7,464.0,1068.0,476.0,1080.0,30.03,71.97,0.0
3,0.12,1,player,Greuther Furth,0.718,794.7,901.5,836.4,1015.8,45.82,67.08,14.6
3,0.12,3,player,Greuther Furth,0.688,286.2,675.8,318.3,762.5,20.98,44.83,30.0
3,0.12,2,player,Greuther Furth,0.639,1141.2,649.3,1176.3,728.1,62.07,41.68,14.6
3,0.12,13,player,Greuther Furth,0.635,838.2,423.7,867.1,487.5,47.14,18.75,15.0
3,0.12,7,player,Greuther Furth,0.622,1075.0,505.0,1101.6,579.0,58.82,27.66,19.9
3,0.12,5,player,Greuther Furth,0.599,364.5,853.1,401.6,950.1,25.58,61.46,21.6
3,0.12,4,player,Greuther Furth,0.562,391.0,580.3,417.8,655.7,25.46,34.95,19.1
3,0.12,9,player,Greuther Furth,0.544,1290.4,911.7,1335.5,1030.1,68.78,68.29,38.0
3,0.12,8,player,Greuther Furth,0.514,545.6,447.6,580.7,547.5,32.87,24.61,6.1
3,0.12,15,player,Greuther Furth,0.476,1127.8,441.2,1159.5,498.1,61.65,19.79,1.6
3,0.12,10,player,Greuther Furth,0.471,1521.1,522.5,1548.2,592.3,80.73,28.94,25.1
3,0.12,18,player,Greuther Furth,0.418,1471.7,416.9,1499.9,480.0,78.77,18.01,16.9
3,0.12,11,player,Greuther Furth,0.39,1222.0,459.6,1254.3,498.9,66.36,19.87,10.9
3,0.12,6,player,Greuther Furth,0.365,1820.7,883.6,1866.9,985.6,93.53,64.51,32.5
3,0.12,0,ball,Ball,0.7,461.0,1069.0,472.0,1080.0,29.87,72.02,0.0
4,0.16,1,player,Greuther Furth,0.741,791.3,901.5,834.5,1013.3,45.7,66.87,22.2
4,0.16,3,player,Greuther Furth,0.714,280.8,677.0,315.4,763.2,20.79,44.89,18.4
4,0.16,9,player,Greuther Furth,0.605,1287.8,912.2,1331.1,1031.1,68.62,68.37,16.7
4,0.16,5,player,Greuther Furth,0.601,363.1,854.7,398.5,951.1,25.48,61.55,12.1
4,0.16,4,player,Greuther Furth,0.598,386.4,579.6,413.5,655.7,25.24,34.95,19.6
4,0.16,7,player,Greuther Furth,0.588,1071.2,506.6,1099.0,578.0,58.66,27.56,16.8
4,0.16,13,player,Greuther Furth,0.581,832.7,423.5,862.6,488.0,46.89,18.8,22.8
4,0.16,2,player,Greuther Furth,0.574,1136.8,649.3,1174.4,729.7,61.92,41.83,19.2
4,0.16,10,player,Greuther Furth,0.57,1520.4,527.8,1544.5,593.0,80.62,29.0,11.5
4,0.16,8,player,Greuther Furth,0.478,542.2,446.7,588.0,550.4,32.98,24.9,27.5
4,0.16,18,player,Greuther Furth,0.398,1470.8,416.9,1495.7,478.8,78.64,17.89,15.2
4,0.16,15,player,Greuther Furth,0.382,1126.6,445.2,1162.1,497.8,61.68,19.76,4.2
4,0.16,0,ball,Ball,0.7,458.0,1069.0,469.0,1080.0,29.73,72.02,0.0
5,0.2,1,player,Greuther Furth,0.713,789.0,903.3,832.5,1014.4,45.6,66.96,12.0
